Tiempo,FT_1031,FT_1047,PDIT_1040,Qclapeta
100,3209.99,346.101,402.776,-1.70722e-06
200,3209.99,346.101,402.776,-1.70722e-06
300,3209.99,346.101,402.776,-1.70722e-06
400,3209.99,346.101,402.776,-1.70722e-06
500,3209.99,346.101,402.776,-1.70722e-06
600,3209.99,346.101,402.776,-1.70722e-06
700,3209.99,346.101,402.776,-1.70722e-06
800,3209.99,346.101,402.776,-1.70722e-06
900,3209.99,346.101,402.776,-1.70722e-06
1000,3209.99,346.101,402.776,-1.70722e-06
1100,3209.99,346.101,402.776,-1.70722e-06
1200,3209.99,346.101,402.776,-1.70722e-06
1300,3209.99,346.101,402.776,-1.70722e-06
1400,3209.99,346.101,402.776,-1.70722e-06
1500,3209.99,346.101,402.776,-1.70722e-06
1600,3209.99,346.101,402.776,-1.70722e-06
1700,3209.99,346.101,402.776,-1.70722e-06
1800,3209.99,346.101,402.776,-1.70722e-06
1900,3209.99,346.101,402.776,-1.70722e-06
2000,3209.99,346.101,402.776,-1.70722e-06
2100,3209.99,346.101,402.776,-1.70722e-06
2200,3209.99,346.101,402.776,-1.70722e-06
2300,3209.99,346.101,402.776,-1.70722e-06
2400,3209.99,346.101,402.776,-1.70722e-06
2500,3209.99,346.101,402.776,-1.70722e-06
2600,3209.99,346.101,402.776,-1.70722e-06
2700,3209.99,346.101,402.776,-1.70722e-06
2800,3209.99,346.101,402.776,-1.70722e-06
2900,3209.99,346.101,402.776,-1.70722e-06
3000,3209.99,346.101,402.776,-1.70722e-06
3100,3209.99,346.101,402.776,-1.70722e-06
3200,3209.99,346.101,402.776,-1.70722e-06
3300,3209.99,346.101,402.776,-1.70722e-06
3400,3209.99,346.101,402.776,-1.70722e-06
3500,3209.99,346.101,402.776,-1.70722e-06
3600,3209.99,346.101,402.776,-1.70722e-06
3700,3209.99,346.101,402.776,-1.70722e-06
3800,3209.99,346.101,402.776,-1.70722e-06
3900,3209.99,346.101,402.776,-1.70722e-06
4000,3209.99,346.101,402.776,-1.70722e-06
4100,3209.99,346.101,402.776,-1.70722e-06
4200,3209.99,346.101,402.776,-1.70722e-06
4300,3209.99,346.101,402.776,-1.70722e-06
4400,3209.99,346.101,402.776,-1.70722e-06
4500,3209.99,346.101,402.776,-1.70722e-06
4600,3209.99,346.101,402.776,-1.70722e-06
4700,3209.99,346.101,402.776,-1.70722e-06
4800,3209.99,346.101,402.776,-1.70722e-06
4900,3209.99,346.101,402.776,-1.70722e-06
5000,3209.99,346.101,402.776,-1.70722e-06
5100,3209.99,346.101,402.776,-1.70722e-06
5200,3209.99,346.101,402.776,-1.70722e-06
5300,3209.99,346.101,402.776,-1.70722e-06
5400,3209.99,346.101,402.776,-1.70722e-06
5500,3209.99,346.101,402.776,-1.70722e-06
5600,3209.99,346.101,402.776,-1.70722e-06
5700,3209.99,346.101,402.776,-1.70722e-06
5800,3209.99,346.101,402.776,-1.70722e-06
5900,3209.99,346.101,402.776,-1.70722e-06
6000,3209.99,346.101,402.776,-1.70722e-06
6100,3209.99,346.101,402.776,-1.70722e-06
6200,3209.99,346.101,402.776,-1.70722e-06
6300,3209.99,346.101,402.776,-1.70722e-06
6400,3209.99,346.101,402.776,-1.70722e-06
6500,3209.99,346.101,402.776,-1.70722e-06
6600,3209.99,346.101,402.776,-1.70722e-06
6700,3209.99,346.101,402.776,-1.70722e-06
6800,3209.99,346.101,402.776,-1.70722e-06
6900,3209.99,346.101,402.776,-1.70722e-06
7000,3209.99,346.101,402.776,-1.70722e-06
7100,3209.99,346.101,402.776,-1.70722e-06
7200,3209.99,346.101,402.776,-1.70722e-06
7300,3209.99,346.101,402.776,-1.70722e-06
7400,3209.99,346.101,402.776,-1.70722e-06
7500,3209.99,346.101,402.776,-1.70722e-06
7600,3209.99,346.101,402.776,-1.70722e-06
7700,3209.99,346.101,402.776,-1.70722e-06
