Tiempo,Q_DEEN,Caudal BPIL
100,213.503,252.665
200,213.503,252.665
300,213.503,252.665
400,213.503,252.665
500,213.503,252.665
600,213.503,252.665
700,213.503,252.665
800,213.503,252.665
900,213.503,252.665
1000,213.503,252.665
1800,213.494,252.645
1900,213.48,252.611
2000,213.454,252.554
2100,213.416,252.469
2200,213.363,252.352
2300,213.293,252.202
2400,213.206,252.018
2500,213.103,251.802
2600,212.984,251.555
2700,212.851,251.277
2800,212.704,250.97
2900,212.547,250.637
3000,212.379,250.28
3100,212.204,249.901
3200,212.022,249.502
3300,211.835,249.085
3400,211.644,248.654
3500,211.449,248.209
3600,211.251,247.753
3700,211.05,247.288
3800,210.847,246.815
3900,210.64,246.337
4000,210.429,245.855
4100,210.215,245.37
4200,209.996,244.884
4300,209.773,244.398
4400,209.544,243.915
4500,209.309,243.435
4600,209.069,242.959
4700,208.823,242.488
4800,208.57,242.024
4900,208.312,241.567
5000,208.047,241.118
5100,207.777,240.677
5200,207.501,240.244
5300,207.22,239.819
5400,206.934,239.403
5500,206.643,238.994
5600,206.347,238.594
5700,206.047,238.2
5800,205.744,237.814
5900,205.437,237.433
6000,205.127,237.059
6100,204.814,236.689
6200,204.498,236.324
6300,204.18,235.964
6400,203.861,235.606
6500,203.539,235.252
6600,203.217,234.899
6700,202.893,234.55
6800,202.568,234.201
6900,202.243,233.854
7000,201.917,233.509
7100,201.591,233.164
7200,201.265,232.819
7300,200.939,232.476
7400,200.613,232.132
7500,200.288,231.789
7600,199.963,231.447
7700,199.639,231.104
7800,199.315,230.762
7900,198.992,230.419
8000,198.67,230.077
8100,198.348,229.735
8200,198.028,229.394
8300,197.708,229.052
8400,197.389,228.71
8500,197.071,228.369
8600,196.753,228.028
8700,196.437,227.687
8800,196.121,227.347
8900,195.806,227.007
9000,195.492,226.667
9100,195.179,226.327
9200,194.866,225.987
9300,194.554,225.648
9400,194.244,225.309
9500,193.933,224.971
9600,193.624,224.632
9700,193.315,224.294
9800,193.008,223.956
9900,192.7,223.618
10000,192.394,223.28
10100,192.088,222.942
10200,191.783,222.605
10300,191.479,222.268
10400,191.175,221.93
10500,190.872,221.593
10600,190.569,221.257
10700,190.267,220.92
10800,189.966,220.583
10900,189.665,220.247
11000,189.365,219.911
11100,189.066,219.575
11200,188.766,219.239
11300,188.468,218.904
11400,188.169,218.568
11500,187.872,218.233
11600,187.574,217.899
11700,187.278,217.565
11800,186.981,217.231
11900,186.685,216.897
12000,186.389,216.564
12100,186.094,216.231
12200,185.799,215.899
12300,185.504,215.567
12400,185.21,215.236
12500,184.916,214.905
12600,184.623,214.574
12700,184.33,214.244
12800,184.037,213.915
12900,183.744,213.586
13000,183.452,213.257
13100,183.16,212.929
13200,182.868,212.602
13300,182.577,212.275
13400,182.286,211.948
13500,181.996,211.622
13600,181.705,211.296
13700,181.415,210.971
13800,181.126,210.647
13900,180.836,210.323
14000,180.548,209.999
14100,180.259,209.676
14200,179.971,209.353
14300,179.683,209.031
14400,179.395,208.709
14500,179.108,208.387
14600,178.821,208.066
14700,178.535,207.746
14800,178.249,207.425
14900,177.963,207.106
15000,177.678,206.786
15100,177.393,206.468
15200,177.108,206.149
15300,176.824,205.831
15400,176.54,205.513
15500,176.257,205.196
15600,175.974,204.879
15700,175.691,204.563
15800,175.409,204.247
15900,175.127,203.931
16000,174.845,203.616
16100,174.564,203.301
16200,174.283,202.987
16300,174.003,202.673
16400,173.723,202.359
16500,173.443,202.046
16600,173.164,201.733
16700,172.885,201.42
16800,172.607,201.108
16900,172.329,200.797
17000,172.051,200.485
17100,171.773,200.174
17200,171.496,199.864
17300,171.219,199.553
17400,170.943,199.243
17500,170.666,198.932
17600,170.39,198.622
17700,170.114,198.311
17800,169.838,198.001
17900,169.563,197.691
18000,169.287,197.381
18100,169.012,197.07
18200,168.737,196.76
18300,168.462,196.451
18400,168.188,196.141
18500,167.914,195.831
18600,167.641,195.522
18700,167.368,195.213
18800,167.095,194.904
18900,166.823,194.596
19000,166.551,194.288
19100,166.28,193.98
19200,166.009,193.672
19300,165.738,193.365
19400,165.468,193.058
19500,165.198,192.752
19600,164.928,192.446
19700,164.659,192.141
19800,164.389,191.836
19900,164.12,191.531
20000,163.852,191.227
20100,163.583,190.923
20200,163.315,190.62
20300,163.047,190.317
20400,162.779,190.015
20500,162.511,189.713
20600,162.244,189.411
20700,161.977,189.111
20800,161.71,188.81
20900,161.443,188.51
21000,161.177,188.211
21100,160.911,187.912
21200,160.645,187.613
21300,160.38,187.315
21400,160.115,187.017
21500,159.85,186.72
21600,159.585,186.423
21700,159.321,186.126
21800,159.057,185.83
21900,158.794,185.534
22000,158.53,185.238
22100,158.267,184.943
22200,158.005,184.648
22300,157.742,184.354
22400,157.48,184.06
22500,157.219,183.766
22600,156.958,183.473
22700,156.697,183.18
22800,156.436,182.887
22900,156.176,182.594
23000,155.916,182.302
23100,155.657,182.011
23200,155.397,181.719
23300,155.139,181.428
23400,154.88,181.138
23500,154.622,180.847
23600,154.365,180.557
23700,154.107,180.268
23800,153.85,179.979
23900,153.594,179.69
24000,153.338,179.401
24100,153.082,179.113
24200,152.826,178.825
24300,152.571,178.538
24400,152.316,178.25
24500,152.062,177.964
24600,151.808,177.677
24700,151.554,177.391
24800,151.301,177.106
24900,150.994,176.82
25000,150.804,176.535
25100,150.58,176.251
25200,150.351,175.967
25300,150.12,175.683
25400,149.886,175.399
25500,149.65,175.116
25600,149.412,174.833
25700,149.172,174.551
25800,148.93,174.269
25900,148.684,173.987
26000,148.434,173.705
26100,148.181,173.424
26200,147.927,173.142
26300,147.672,172.861
26400,147.416,172.579
26500,147.159,172.298
26600,146.902,172.016
26700,146.644,171.735
26800,146.386,171.453
26900,146.127,171.171
27000,145.869,170.889
27100,145.611,170.608
27200,145.353,170.325
27300,145.095,170.043
27400,144.841,169.76
27500,144.584,169.477
27600,144.325,169.194
27700,144.067,168.91
27800,143.809,168.627
27900,143.552,168.343
28000,143.296,168.058
28100,143.041,167.774
28200,142.787,167.49
28300,142.534,167.207
28400,142.282,166.923
28500,142.031,166.64
28600,141.782,166.357
28700,141.534,166.075
28800,141.287,165.794
28900,141.041,165.513
29000,140.796,165.232
29100,140.551,164.953
29200,140.307,164.674
29300,140.064,164.395
29400,139.823,164.118
29500,139.582,163.84
29600,139.342,163.564
29700,139.103,163.288
29800,138.866,163.013
29900,138.629,162.739
30000,138.393,162.465
30100,138.158,162.192
30200,137.923,161.92
30300,137.69,161.648
30400,137.457,161.378
30500,137.225,161.107
30600,136.993,160.838
30700,136.762,160.569
30800,136.532,160.3
30900,136.302,160.032
31000,136.073,159.765
31100,135.844,159.499
31200,135.616,159.233
31300,135.388,158.968
31400,135.16,158.704
31500,134.933,158.441
31600,134.706,158.179
31700,134.479,157.917
31800,134.253,157.657
31900,134.027,157.397
32000,133.801,157.139
32100,133.575,156.881
32200,133.35,156.624
32300,133.124,156.367
32400,132.899,156.112
32500,132.674,155.857
32600,132.45,155.604
32700,132.225,155.35
32800,132.001,155.098
32900,131.777,154.846
33000,131.553,154.595
33100,131.329,154.345
33200,131.106,154.095
33300,130.882,153.846
33400,130.66,153.597
33500,130.437,153.349
33600,130.214,153.102
33700,129.992,152.855
33800,129.77,152.608
33900,129.549,152.362
34000,129.327,152.116
34100,129.106,151.871
34200,128.885,151.625
34300,128.665,151.381
34400,128.445,151.136
34500,128.225,150.892
34600,128.005,150.648
34700,127.786,150.405
34800,127.567,150.161
34900,127.348,149.918
35000,127.13,149.676
35100,126.912,149.433
35200,126.694,149.191
35300,126.477,148.948
35400,126.26,148.706
35500,126.043,148.465
35600,125.827,148.223
35700,125.61,147.982
35800,125.395,147.741
35900,125.179,147.5
36000,124.964,147.259
36100,124.749,147.019
